NCES_school_ID,low_grade,high_grade,schoool_name,district,county,address,city,state,ZIP,location,students,teachers
80480000695,9,12,Arvada West High School,Jefferson County School District No. R-1,Jefferson County,11595 ALLENDALE DRIVE,ARVADA,CO,80004,Suburb: Large,1825,91.25
80336000307,KG,5,Asbury Elementary School,School District No. 1 in the county of Denver and State of C,Denver County,1320 EAST ASBURY AVENUE,DENVER,CO,80210,City: Large,315,22
80002006760,KG,12,Ascent Classical Academy,State Charter School Institute,Douglas County,10004 PARK MEADOWS DRIVE,LONE TREE,CO,80124,Suburb: Large,649,37.43
80002006796,KG,6,Ascent Classical Academy Northern Colorado,State Charter School Institute,Larimer County,2700 S LEMAY AVE,FORT COLLINS,CO,80525,City: Midsize,271,15.05
80336000309,PK,5,Ashley Elementary School,School District No. 1 in the county of Denver and State of C,Denver County,1914 SYRACUSE STREET,DENVER,CO,80220,City: Large,305,22.94
80228001703,PK,8,Aspen Community Charter School,Aspen School District No. 1 in the county of Pitkin and Sta,Pitkin County,P O BOX 336,WOODY CREEK,CO,81656,Rural: Distant,135,12.72
80249001758,PK,8,Aspen Creek K-8 School,Boulder Valley School District No. Re2,Broomfield County,5500 ASPEN CREEK DRIVE,BROOMFIELD,CO,80020,City: Small,736,44.21
80291001879,PK,5,Aspen Crossing Elementary School,Cherry Creek School District No. 5 in the county of Arapah,Arapahoe County,4655 S HIMALAYA STREET,CENTENNIAL,CO,80015,Suburb: Large,586,31.02
80228000045,PK,4,Aspen Elementary School,Aspen School District No. 1 in the county of Pitkin and Sta,Pitkin County,235 HIGH SCHOOL ROAD,ASPEN,CO,81611,Town: Remote,442,36.99
80228000047,9,12,Aspen High School,Aspen School District No. 1 in the county of Pitkin and Sta,Pitkin County,235 HIGH SCHOOL ROAD,ASPEN,CO,81611,Town: Remote,554,42.57
80228000046,5,8,Aspen Middle School,Aspen School District No. 1 in the county of Pitkin and Sta,Pitkin County,235 HIGH SCHOOL ROAD,ASPEN,CO,81611,Town: Remote,445,40.5
80228001982,PK,PK,Aspen Preschool,Aspen School District No. 1 in the county of Pitkin and Sta,Pitkin County,235 HIGH SCHOOL ROAD,ASPEN,CO,81611,Town: Remote,18,0
80537006530,KG,8,Aspen Ridge Preparatory School,St. Vrain Valley School District No. Re1J,Weld County,705 AUSTIN AVE,ERIE,CO,80516,Suburb: Small,482,33.53
80192000858,7,12,Aspen Valley Campus,Academy School District No. 20 in the county of El Paso an,El Paso County,1450 CHAPEL HILLS DRIVE,COLORADO SPRINGS,CO,80920,City: Large,131,14.5
80345006588,PK,8,Aspen View Academy,Douglas County School District No. Re 1,Douglas County,PO BOX 1452,CASTLE ROCK,CO,80109,Suburb: Large,893,52.25
80270006605,9,12,Astravo Academy High School,Byers School District No. 32J,Jefferson County,165 S. UNION BLVD #777,LAKEWOOD,CO,80228,City: Midsize,525,7.51
80270006759,6,8,Astravo Academy Middle School,Byers School District No. 32J,Jefferson County,165 S. UNION BLVD #777,LAKEWOOD,CO,80228,City: Midsize,551,6.36
80270006749,PK,5,Astravo Online Academy Elementary School,Byers School District No. 32J,Jefferson County,165 SOUTH UNION BLVD SUITE 777,LAKEWOOD,CO,80228,City: Midsize,805,10.18
80270006548,9,12,Astravo Online Academy High School,Byers School District No. 32J,Jefferson County,165 SOUTH UNION BLVD SUITE 777,LAKEWOOD,CO,80228,City: Midsize,1332,25.26
80270006755,6,8,Astravo Online Academy Middle School,Byers School District No. 32J,Jefferson County,165 SOUTH UNION BLVD SUITE 777,LAKEWOOD,CO,80228,City: Midsize,756,13.56
80453006810,KG,2,Atlas Preparatory Elementary School,Harrison School District No. 2 in the county of El Paso an,El Paso County,1602 S. MURRAY,COLORADO SPRINGS,CO,80916,City: Large,124,8.91
80453006425,9,12,Atlas Preparatory High School,Harrison School District No. 2 in the county of El Paso an,El Paso County,1628 SOUTH MURRAY BLVD,COLORADO SPRINGS,CO,80916,City: Large,475,26.74
80453006691,5,8,Atlas Preparatory Middle School,Harrison School District No. 2 in the county of El Paso an,El Paso County,1602 SOUTH MURRAY BLVD,COLORADO SPRINGS,CO,80916,City: Large,522,30.36
80306000222,PK,5,Audubon Elementary School,Colorado Springs School District No. 11 in the county of E,El Paso County,2400 EAST VAN BUREN STREET,COLORADO SPRINGS,CO,80909,City: Large,282,18.95
